Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,1u,C_0805_2012Metric,11.050000,25.150000,0.000000,bottom
C5,100n,C_0805_2012Metric,11.050000,31.150000,0.000000,bottom
R5,10k,R_0805_2012Metric,11.050000,28.150000,0.000000,bottom
R6,10k,R_0805_2012Metric,23.050000,16.150000,0.000000,bottom
C1,10u,C_0805_2012Metric,55.050000,18.650000,0.000000,top
C2,10u,C_0805_2012Metric,55.050000,16.150000,0.000000,top
C3,100n,C_0805_2012Metric,55.050000,13.650000,0.000000,top
D1,blau,LED_0805_2012Metric,47.550000,2.650000,0.000000,top
J1,PS2_Tastatur,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,39.050000,29.650000,0.000000,top
J3,Programmer,PinHeader_1x04_P2.54mm_Vertical,35.550000,2.650000,90.000000,top
JP1,5V_vom_PC,PinHeader_1x02_P2.54mm_Vertical,35.550000,22.150000,0.000000,top
Q1,BSS138,SOT-23,40.550000,21.650000,0.000000,top
Q2,BSS138,SOT-23,40.550000,17.150000,0.000000,top
R1,10k,R_0805_2012Metric,44.550000,22.650000,0.000000,top
R2,10k,R_0805_2012Metric,48.550000,22.650000,0.000000,top
R3,10k,R_0805_2012Metric,44.550000,17.650000,0.000000,top
R4,10k,R_0805_2012Metric,48.550000,17.650000,0.000000,top
R7,1k,R_0805_2012Metric,51.050000,2.650000,0.000000,top
SW1,BOOT,SW_PUSH_6mm,34.550000,12.650000,0.000000,top
SW2,RESET,SW_PUSH_6mm,44.550000,12.650000,0.000000,top
U1,D1_mini_ESP32,D1_mini_ESP32_Sockel,17.050000,20.150000,0.000000,top
U2,ESP32-WROOM-32E-N4,ESP32-WROOM-32E,17.050000,27.150000,0.000000,top
U3,AP2112K-3.3,SOT-23-5,55.050000,22.150000,0.000000,top
