Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,CP_Radial_D5.0mm_P2.00mm,66.550000,29.150000,0.000000,top
C2,10u,CP_Radial_D5.0mm_P2.00mm,73.050000,29.150000,0.000000,top
C3,100n,C_Disc_D5.0mm_W2.5mm_P5.00mm,72.850000,17.650000,0.000000,top
C4,1u,C_Disc_D5.0mm_W2.5mm_P5.00mm,65.550000,21.650000,0.000000,top
C5,100n,C_Disc_D5.0mm_W2.5mm_P5.00mm,8.550000,5.650000,0.000000,top
D1,blau,LED_D3.0mm,66.350000,17.650000,0.000000,top
J1,PS2_Tastatur,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,39.050000,29.650000,0.000000,top
J3,Programmer,PinHeader_1x04_P2.54mm_Vertical,77.550000,12.650000,0.000000,top
JP1,5V_vom_PC,PinHeader_1x02_P2.54mm_Vertical,35.050000,23.150000,0.000000,top
Q1,2N7000,TO-92_Inline_Wide,38.550000,21.250000,0.000000,top
Q2,2N7000,TO-92_Inline_Wide,38.550000,16.350000,0.000000,top
R1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,35.050000,12.450000,0.000000,top
R2,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,35.050000,9.050000,0.000000,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,35.050000,5.650000,0.000000,top
R4,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,35.050000,2.250000,0.000000,top
R5,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,55.050000,21.650000,0.000000,top
R6,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,73.050000,21.650000,0.000000,top
R7,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,55.050000,17.650000,0.000000,top
SW1,BOOT,SW_PUSH_6mm,55.050000,11.650000,0.000000,top
SW2,RESET,SW_PUSH_6mm,65.550000,11.650000,0.000000,top
U1,D1_mini_ESP32,D1_mini_ESP32_Sockel,17.050000,20.150000,0.000000,top
U2,ESP32-WROOM-32E-N4,ESP32-WROOM-32E,17.050000,27.150000,0.000000,top
U3,LD1117V33,TO-220-3_Vertical,56.550000,28.650000,0.000000,top
